Nom,Code_Postal,Commune,Latitude,Longitude
Cascade de Bis,97115,Sainte-Rose,16.2799701,-61.6963257
Chutes du Carbet,97130,Capesterre-Belle-Eau,16.0121246,-61.5879838
Cascade de Bois Bananes,97129,Lamentin,16.2137003,-61.697559
Cascade aux écrevisses,97170,Petit-Bourg,16.1782001,-61.681502
Cascade de la Coulisse,97114,Trois-Rivières,15.9750941,-61.6320533
Chute du Galion,97113,Gourbeyre,16.0316324,-61.6628519
Saut de la Lézarde,97170,Petit-Bourg,16.1777377,-61.655486
Saut de Matouba,97120,Saint-Claude,16.0466812,-61.7049264
Chutes Moreau,97128,Goyave,16.1061775,-61.653489
Saut des Trois Cornes,97115,Sainte-Rose,16.2856945,-61.7264673
